Date,Open,High,Low,Close,Adj Close,Volume
2009-08-28,6.152500,6.160357,6.018929,6.073214,5.148141,453700800
2009-08-31,6.005714,6.030357,5.946429,6.007500,5.092436,311337600
2009-09-01,5.999643,6.071429,5.890714,5.903571,5.004337,469028000
2009-09-02,5.879286,5.986071,5.861071,5.899286,5.000705,364249200
2009-09-03,5.944286,5.967857,5.892857,5.948214,5.042181,293955200
2009-09-04,5.974286,6.096429,5.967500,6.082500,5.156014,374628800
2009-09-08,6.177857,6.183571,6.142857,6.176071,5.235330,315047600
2009-09-09,6.170714,6.231071,6.060714,6.112143,5.181141,811087200
2009-09-10,6.145000,6.187500,6.100357,6.162857,5.224128,491134000
2009-09-11,6.175357,6.185000,6.102500,6.148571,5.212018,348961200
2009-09-14,6.101071,6.210714,6.080357,6.204286,5.259247,322011200
2009-09-15,6.215714,6.273214,6.199643,6.255714,5.302841,426470800
2009-09-16,6.356786,6.526786,6.352857,6.495357,5.505982,754023200
2009-09-17,6.499286,6.671071,6.498929,6.591071,5.587119,810572000
2009-09-18,6.636786,6.662500,6.598571,6.607857,5.601347,601582800
2009-09-21,6.581786,6.612857,6.486429,6.572143,5.571073,437715600
2009-09-22,6.613929,6.620714,6.530357,6.588571,5.584998,356753600
2009-09-23,6.621429,6.746429,6.608214,6.625000,5.615879,593563600
2009-09-24,6.685714,6.703571,6.527500,6.565000,5.565017,550880400
2009-09-25,6.500357,6.625000,6.480000,6.513214,5.521117,445239200
2009-09-28,6.566786,6.667143,6.547500,6.648214,5.635556,337444800
2009-09-29,6.668929,6.692857,6.582500,6.620714,5.612245,345385600
2009-09-30,6.647500,6.658929,6.521786,6.619643,5.611337,539585200
2009-10-01,6.619643,6.650714,6.453571,6.459286,5.475408,524711600
2009-10-02,6.478929,6.640714,6.476786,6.603571,5.597713,553308000
2009-10-05,6.650000,6.673571,6.581071,6.643571,5.631620,423133200
2009-10-06,6.705000,6.786071,6.689286,6.786071,5.752415,605085600
2009-10-07,6.777143,6.805357,6.751071,6.794643,5.759681,465668000
2009-10-08,6.809286,6.837500,6.746071,6.759643,5.730012,438211200
2009-10-09,6.748929,6.810714,6.736429,6.802500,5.766341,293272000
2009-10-12,6.822143,6.839643,6.772857,6.814643,5.776635,288024800
2009-10-13,6.808214,6.827500,6.775000,6.786429,5.752718,348020400
2009-10-14,6.866071,6.868571,6.793929,6.831786,5.791167,375510800
2009-10-15,6.772500,6.818571,6.768929,6.805714,5.769065,373556400
2009-10-16,6.762500,6.798571,6.708571,6.716071,5.693077,431426800
2009-10-19,6.708929,6.785714,6.626786,6.780714,5.747875,942230800
2009-10-20,7.164286,7.205357,7.066071,7.098571,6.017315,1141039200
2009-10-21,7.125714,7.453929,7.115357,7.318571,6.203804,1193726800
2009-10-22,7.310714,7.423214,7.232500,7.328571,6.212282,791392000
2009-10-23,7.346429,7.350000,7.258214,7.283571,6.174135,420786800
2009-10-26,7.273929,7.383929,7.146429,7.231429,6.129938,484338400
2009-10-27,7.202143,7.243214,7.016071,7.048929,5.975235,756551600
2009-10-28,7.061071,7.072143,6.825000,6.871429,5.824770,818386800
2009-10-29,6.964286,7.028929,6.862143,7.012500,5.944355,570270400
2009-10-30,7.002143,7.028571,6.720357,6.732143,5.706703,717525200
2009-11-02,6.778571,6.888571,6.627500,6.761071,5.731222,678983200
2009-11-03,6.708929,6.768571,6.640000,6.741071,5.714269,522541600
2009-11-04,6.811786,6.923214,6.793929,6.814643,5.776635,487530400
2009-11-05,6.871429,6.964286,6.850714,6.929643,5.874118,384801200
2009-11-06,6.875357,6.971071,6.871429,6.940714,5.883503,295097600
2009-11-09,7.033571,7.210714,7.009286,7.195000,6.099057,528855600
2009-11-10,7.179286,7.320714,7.178929,7.249286,6.145073,401195200
2009-11-11,7.305714,7.321429,7.208214,7.258929,6.153247,443870000
2009-11-12,7.255000,7.316786,7.193929,7.213929,6.115103,363731200
2009-11-13,7.245357,7.315357,7.216786,7.301786,6.189577,343240800
2009-11-16,7.338571,7.428571,7.321786,7.379643,6.255574,485206400
2009-11-17,7.360000,7.408571,7.321429,7.392857,6.266774,396513600
2009-11-18,7.376429,7.392857,7.285714,7.355714,6.235289,374320800
2009-11-19,7.307500,7.307500,7.135714,7.161071,6.070295,542326400
2009-11-20,7.112500,7.156786,7.062857,7.140000,6.052434,406666400
2009-11-23,7.250000,7.357143,7.248214,7.352857,6.232867,474896800
2009-11-24,7.333214,7.352857,7.246429,7.301429,6.189274,318438400
2009-11-25,7.335714,7.344643,7.277143,7.292500,6.181705,286454000
2009-11-27,7.115000,7.248571,7.084643,7.163929,6.072716,295257200
2009-11-30,7.182500,7.202857,7.098929,7.139643,6.052131,424858000
2009-12-01,7.222857,7.241786,7.029643,7.034643,5.963123,465763200
2009-12-02,7.105714,7.193571,6.991071,7.008214,5.940721,715260000
2009-12-03,7.050714,7.106429,7.009643,7.017143,5.948291,448719600
2009-12-04,7.132143,7.138571,6.795714,6.904286,5.852622,826884800
2009-12-07,6.904286,6.920357,6.738571,6.748214,5.720324,714758800
2009-12-08,6.762857,6.869643,6.739286,6.781071,5.748176,690398800
2009-12-09,6.831429,7.077143,6.796786,7.064286,5.988253,684782000
2009-12-10,7.125000,7.132143,7.004286,7.015357,5.946777,489669600
2009-12-11,7.063571,7.071429,6.908214,6.952500,5.893493,429774800
2009-12-14,6.977500,7.051071,6.877143,7.035000,5.963426,495790400
2009-12-15,6.993929,7.053929,6.902500,6.934643,5.878357,419459600
2009-12-16,6.967857,7.017857,6.948214,6.965357,5.904392,352984800
2009-12-17,6.937857,6.964286,6.821429,6.852143,5.808424,388838800
2009-12-18,6.898929,6.982143,6.878571,6.979643,5.916503,608770400
2009-12-21,7.001786,7.133929,6.988214,7.079643,6.001270,611906400
2009-12-22,7.122857,7.173214,7.095000,7.155714,6.065753,349515600
2009-12-23,7.185714,7.227857,7.171786,7.217857,6.118431,345525600
2009-12-24,7.269643,7.476786,7.262500,7.465714,6.328535,500889200
2009-12-28,7.561429,7.641071,7.486071,7.557500,6.406340,644565600
2009-12-29,7.593929,7.597143,7.454643,7.467857,6.330351,445205600
2009-12-30,7.458214,7.571429,7.439643,7.558571,6.407248,412084400
2009-12-31,7.611786,7.619643,7.520000,7.526071,6.379700,352410800
2010-01-04,7.622500,7.660714,7.585000,7.643214,6.478995,493729600
2010-01-05,7.664286,7.699643,7.616071,7.656429,6.490200,601904800
2010-01-06,7.656429,7.686786,7.526786,7.534643,6.386964,552160000
2010-01-07,7.562500,7.571429,7.466071,7.520714,6.375156,477131200
2010-01-08,7.510714,7.571429,7.466429,7.570714,6.417542,447610800
2010-01-11,7.600000,7.607143,7.444643,7.503929,6.360930,462229600
2010-01-12,7.471071,7.491786,7.372143,7.418571,6.288572,594459600
2010-01-13,7.423929,7.533214,7.289286,7.523214,6.377274,605892000
2010-01-14,7.503929,7.516429,7.465000,7.479643,6.340342,432894000
2010-01-15,7.533214,7.557143,7.352500,7.354643,6.234382,594067600
2010-01-19,7.440357,7.685357,7.401429,7.680000,6.510180,730007600
2010-01-20,7.675357,7.698214,7.482143,7.561786,6.409972,612152800
2010-01-21,7.574286,7.618214,7.400357,7.431071,6.299168,608154400
2010-01-22,7.385000,7.410714,7.041429,7.062500,5.986740,881767600
2010-01-25,7.232500,7.310714,7.149643,7.252500,6.147798,1065699600
2010-01-26,7.355357,7.632500,7.235000,7.355000,6.234684,1867110000
2010-01-27,7.387500,7.520714,7.126071,7.424286,6.293416,1722568400
2010-01-28,7.318929,7.339286,7.096429,7.117500,6.033361,1173502400
